"File","Line","Method","What","Purpose"
"GRM_AltManagement.lua","1719","GRM.SetBirthdayForAltGrouping ( string , int , int  , int , bool , bool , bool )","Sets all of the alts to the same birthday as well when there is a modification","Ensure birthdays are set for all alts, as it is assumed it is one player"
"GRM_AltManagement.lua","1782","GRM.ResetBirthdayForAltGroup ( string , int , bool , string , bool )","Resets the birthdays for the player and all the alts connected in the group","Birthday is universal of an alt grouping... keeps them together."
"GRM_AltManagement.lua","1885","GRM.SyncBirthdayWithNewAlt ( string , string , boolean , int )","Sets the new alt to the same birthday as the previous alts","Keep alts all in sync on the birthday."
"GRM_API.lua","38","GRM_API.GetMember ( string [,string] )","Returns the member and all player data stored by GRM",""
"GRM_API.lua","52","GRM_API.GetFormerMember ( string [,string] )","Returns the former Member and all player data stored by GRM",""
"GRM_API.lua","66","GRM_API.IsGuildMember ( string [,string] )","Returns true if the named player is a current guild member",""
"GRM_API.lua","78","GRM_API.GetMemberAlts ( string [,string] )","Returns an alphabetically sorted list of alts in a string array",""
"GRM_API.lua","176","GRM.ClearFriendsList()","Clears the entire server side, non-battletag friends list completely to zero","To cleanup friends if you wanted"
"GRM_API.lua","185","GRM.ClearAllOfficerNotes()","Clears every officer note to every player in the guild","Mass cleanup abilities"
"GRM_API.lua","196","GRM.ClearAllPublicNotes()","Clears every public note to every player in the guild","Mass cleanup abilities"
"GRM_API.lua","207","GRM.RestoreAllPublicNotesFromSave()","Looks at the GRM save database and restores all the public notes","In case someone nefariously overwrites all public notes"
"GRM_API.lua","226","GRM.RestoreAllOfficerNotesFromSave()","Looks at the GRM save database and restores all the officer notes","In case someone nefariously overwrites all officer notes"
"GRM_API.lua","245","GRM_API.RestoreAllPublicNotes ( [string] )","Takes all the saved strings and overwrites all public notes","To enable players to restore all their public notes from a GRM physical backup save of the WTF \"
"GRM_API.lua","293","GRM_API.SetAllUnlinkedPlayersToMain()","Any player that is not a main, and does not have any linked alts will be set as main.","Mass tool for OCD people who want to set all as main."
"GRM_API.lua","311","GRM_API.SetAllUnknownPromoteDates ( int , int , int )","Sets all players who do not have a rank change date set yet as the given date","Mass tool to cleanup timestamps if you really do not want to investigate"
"GRM_API.lua","349","GRM_API.SetAllUnknownJoinDates ( int , int , int )","Sets all players who do not have a promote date set yet as the given date","Mass tool to cleanup timestamps if you really do not want to investigate"
"GRM_API.lua","384","GRM_API.ClearAllUnverifiedPromoteDates()","Removes all the unverified promotion dates, but only the first layer, and it will not remove it if it is the ONLY promotion date","Save for the rank change error."
"GRM_API.lua","403","GRM_API.RollBackToVerifiedPromotionDatesOnly()","Rather than just rolling back ALL dates, it only rolls back as long as the previous date is verified.","Rank change error, but not general for all."
"GRM_API.lua","422","GRM_API.ValidateAllDates( bool , bool )","Adds the ability to auto-validate all dates within a guild that have the ""!!"" unverified designation","Often requested to just get the ball rolling as you can't use the macro tool without validated dates."
"GRM_API.lua","447","GRM_API.ReportAltGroupsOverLimit ( int )","Reports to chat all alt groups that exceed the given limit of alts","For guilds that want to monitor alt group sizes for any reason"
"grm_chattynator.lua","9","GRM.IsChattynatorLoaded()","Checks if Chattynator is loaded and sets the compatibility flag accordingly.","To allow GRM to know if it can attempt to integrate with Chattynator for enhanced chat features, such as sending messages to specific tabs."
"grm_chattynator.lua","21","chattynator.GetChattynatorTab(string)","Iterates through Chattynator's windows and tabs to find a tab matching the given name","To retrieve the window and tab index of a Chattynator tab by name, allowing GRM to send messages to it."
"grm_chattynator.lua","48","chattynator.ConfigureChattynatorTab (int,int)","Forces ChattynatorTab to allow GRM messages","Chattynator Compatibility"
"grm_chattynator.lua","71","Config.GetTimeOffesets( string, float, float, float)","Utilizes the Chattynator reporting instead of the AddMessage of the built-in defaults instead","Chattynator is a really cool addon and GRM should support it."
"grm_chattynator.lua","87","chattynator.SetReportChannel( int, int, string )","Initializes into memory the GRM reporting channels matched to Chattynator tab indexes","Chattynator compatibility!"
"grm_chattynator.lua","94","chattynator.DisableChannel( string )","Disables Chattynator tabs reporting GRM if GRM itself is not configured for it","Unify GRM settings to Chattynator settings of GRM channel reporting"
"grm_chattynator.lua","118","chattynator.EnableChannel( string )","Enables Chattynator tabs reporting GRM if GRM itself is configured for it","Unify GRM settings to Chattynator settings of GRM channel"
"grm_chattynator.lua","143","chattynator.InitializeTabsForGRM()","Enables or Disables chattynator tabs to GRM based on the addon settings.","Chattynator compatibility initialization upon logging in. Ensure settings unity between addons for compatibility"
"grm_chattynator.lua","161","chattynator.RefreshChattynatorTabs()","Triggers a refresh of chattynator's tabs","I need it to refresh the tabs after I create one."
"grm_chattynator.lua","173","chattynator.CreateChattynatorTab( string )","Creates a Chattynator tab with the given name and configures it for GRM reporting.","To allow users to easily create new Chattynator tabs for GRM"
"grm_chattynator.lua","197","chattynator.CleanupChattynatorTabs()","Cleans up chattynator compatibility list","If a user removes a GRM window from reporting, in the options, it should also disable it in Chattynator"
"GRM_Config.lua","14","Config.GetTimeOffesets()","Determines the number of hours a player needs to gain or lose based on their local time, to match server time.","The date() function pulls OS time, not server time. This allows me to adjust for it."
"GRM_Config.lua","51","Config.ActivateAddon( self , string , string )","First, doesn't trigger to load until all variables of addon fully loaded.","To ensure the smooth handling and loading of the addon so all information is accurate before attempting to parse guild info."
"GRM_Core.lua","395","GRM.GetMouseFocus( frameTable )","Returns true if the mouse is focusing the frame","Easily confirm frame is mouseover"
"GRM_Core.lua","410","GRM.IsHardcoreActive()","Returns true if hardcore is active","11.0.2 added the IsgameRule Active and Removed IsHardcoreActive function - still not live on Classic"
"GRM_Core.lua","424","GRM.GameVersion()","Returns the version of the game you are playing","Necessary as when I pulled parsed realm data from the Web API to populate the realms file, I separated the data by Builds."
"GRM_Core.lua","547","GRM.issecretvalue()","Returns if a value is a secret value, but since this dropped in 12.0, API doesn't currently exist","Compatibility of all builds"
"GRM_Core.lua","560","GRM.GetMaxPlayerLevelByExpansion()","Returns the max player based on the current expansion, not the build.","With things like  pre-patches, the actual real max level will not yet be expansion level, like 80, but not yet 90 for Midnight 12.0."
"GRM_Core.lua","650","GRM.FrameCombatHide()","Hides all GRM windows that are visible","GRM windows should auto-close when combat starts, but should auto re-open shortly after"
"GRM_Core.lua","710","GRM.FrameCombatRestore()","If any frames were hidden during combat, this restores them","Control GRM frames"
"GRM_Core.lua","754","GRM.WipeCombatHiddenState()","Resets the 'frames hidden by combat' flags without showing the frames.","Used on loading screens or flight paths to prevent windows popping up unexpectedly."
"GRM_Core.lua","766","GRM.SecretValueRestrictionRestore()","If a secret value delay was set, it resets it and triggers a guild roster update","To handle secret value restrictions lifting after combat or after leaving a BG."
"GRM_Core.lua","776","GRM.IsInAnyPvPInstance()","Returns true if the player is in a PvP instance (battleground or arena)","Only need to reset the secretValue when leaving combat if NOT in a pvp instance."
"GRM_Core.lua","787","GRM.GetWowProgressLink ( string )","Generates an HTML link to the player's WOWPROGRESS page","Easy access to player's wowprogress link"
"GRM_Core.lua","804","GRM.GetRaiderIOLink ( string )","Returns HTML link for Raider.IO","Easy access to player's raider.io link"
"GRM_Core.lua","823","GRM.BuildRaceIDEnum()","Adds the Race IDs to a table.","Be able to repeatedly call static variables without needing to requery the in-game API."
"GRM_Core.lua","841","GRM.BuildClassIDEnums();","Adds the Class IDs to reusable table","Efficiency."
"GRM_Core.lua","859","GRM.ConfigureEnums()","Initializes all the enums to be built. This is useful so it only builds what it can pull from the server.","Efficiency."
"GRM_Core.lua","871","GRM.ClearPermData()","Resets all the saved data back to nothing... and does not rebuid it.","Mainly for use if ever there is a need to purge the data"
"GRM_Core.lua","922","GRM.ConfigureMiscForPlayer( string );","Builds a file for tracking active data that can be reference back to on a relog... so as to mark where to carry on from","In case a player logs out in the middle of critical things, both front and backend, it has a marker stored on where to restart from."
"GRM_Core.lua","931","GRM.GetRankRestrictedDefaultRankIndex();","Returns the index based on the rank restricted default of a guild, which is a number based on total number of ranks in the guild.","For establishing default settings, it is important to know what the default rank is in the guild."
"GRM_Core.lua","944","GRM.SetDefaultAddonSettings( object , int )","Establishes the default addon setttings for all of the options and some other misc. stored variables, like minimap position","Easy access to settings on a default reset."
"GRM_Core.lua","1283","GRM.IsSettingsConfigured()","Returns true if the settings are an old format","Cleanup the settings check on login."
"GRM_Core.lua","1297","GRM.RefreshAllSettings()","Resets the whole addon due to missing save settings data.","Adapt the new DB."
"GRM_Core.lua","1305","GRM.IsOldSettingsFormat()","Clears the old settings and rebuilds the database to new format.","Necessary for changes and backwards compatibility"
"GRM_Core.lua","1323","GRM.UpdateOldSettingsFormat()","Updates the addon from the old settings style","The database has shifted over time and this allows backwards compatibility."
"GRM_Core.lua","1398","GRM.LoadSettings( isManual )","On first time loading addon, it builds default addon settings. It checks for addon version change","Saving settings between gaming sessions. Also, this is built to provide backwards compatibility for future flexibility on feature adding, if necessary."
"GRM_Core.lua","1461","GRM.GuildSpecificConfigurations()","Triggers configurations in a guild based on settings preferences.","Need to trigger if player joins a guild."
"GRM_Core.lua","1479","GRM.FinalSettingsConfigurations( bool )","Calculates the final settings configurations","Compartmentalizes this so it can only be on call as needed."
"GRM_Core.lua","1526","GRM.VerifyAddonSettings()","Validates the settings by adding missing or removing redundant.","Cleanup the Save DB"
"GRM_Core.lua","1606","GRM.Validate_Guild_DB()","Reviews the payer alt groups and validates them","Protection against data manipulation or bugs"
"GRM_Core.lua","1682","GRM.GetClassName ( string )","Returns the localized class name using the NON-localized classname -- ""DEATHKNIGHT"" input: ""Death Knight"" output - if in English","Single function to get localized class names"
"GRM_Core.lua","1693","SetClassChatColoring()","Initializes chat coloring controls for classic","Quality of life control"
"GRM_Core.lua","1732","GRM.SetChatClassColoringInWrath ( bool )","Enables or Disables chat class coloring","Enable chat coloring controls in wrath"
"GRM_Core.lua","1746","GRM.SetChatClassColoringNew ( bool )","Enables or Disables class coloring in chat channels","Allows classic players to see class coloring in chat"
"GRM_Core.lua","1762","GRM.SetChatColoring()","Initializes the chat coloring of names","To give the ability to colorize the names in chat and the roster on control - as the default interface in Classic did not have that."
"GRM_Core.lua","1789","GRM.GetPageIndex()","Returns the index number to the corresponding frame","To coordinate in resetting default settings based on the specific frame the player is on."
"GRM_Core.lua","1814","GRM.ResetDefaultSettings( int )","Resets the OPTIONS to the default one for only the currently logged in player","Easy, quality of life for user in the options, for simple reset."
"GRM_Core.lua","1900","GRM.BuildComPattern ( int , string , int )","Returns a string pattern to match for addon to addon comm parsing","to easily build and create patterns as needed for comms."
"GRM_Core.lua","1927","GRM.GetNumKeyedEntries ( table )","Returns the count of the number of keyed entries in a table","Generic use iterator to return count since '#' only works on string length and arrays length"
"GRM_Core.lua","1942","GRM.IsMouseOverAnyChatWindowIncludingCommunities()","Reports back if player has the cursor over a given guild window","Since there is no right-click trigger, this detects the popup window use, and it will only pin the window properly *IF* it is the appropriate time due to the reusability of this window by Warcraft"
"GRM_Core.lua","1991","GRM.SetReportWindow ()","Sets the addon reporting to a specified custom channel","Allow flexibility to send GRM reports to a custom channel so you don't miss anything."
"GRM_Core.lua","2066","GRM.SetJoinAndRejoinTags()","Configures the join and rejoin tag to be either the default tag, or to be the custom.","Increased flexibility for the player in terms of visual controls."
"GRM_Core.lua","2084","GRM.AddReportChannel ( string , object , bool )","Adds the custom channel to the saved data so it can be stored on each subsequent session","Quality of Life control to user to report info to more than 1 window."
"GRM_Core.lua","2120","GRM.CreateChatTabs()","Using the created listed of channels in the General Options, it creates the tabs if they do not exist in a Que, with a confirmation box","UX quality control"
"GRM_Core.lua","2167","GRM.MissingChatTabs ( table )","Informs the player of the missing custom chat channels and asks for permission to rebuild","There is an occasional issue of custom chat channels disappearing, not sure why. This adapts to it."
"GRM_Core.lua","2286","GRM.CancelChatTabCreation()","Cancels this action, and removes the channel tab name","UX quality control"
"GRM_Core.lua","2305","GRM.EstablishNewCustomReportWindow();","Takes a new custom one and determines if there is a window, and if there is no window asks the player if they wish to create a GRM channel","Quality of Life feature for creating custom Window to send reports to."
"GRM_Core.lua","2401","GRM.CleanupUnusedChannels()","Checks if the channel is still one listed. If not, removes it","Quality control for the use of custom channels. Ensures cleanup when channels removed."
"GRM_Core.lua","2439","GRM.IsValidChannelName ( string )","Determines the number of characters, not byte string lenght, as that is not accurate, and returns true if it is 31 characters or less. Numbers within channel names IS compatible.","So the player who is inputing channel names can determine if his are valid."
"GRM_Core.lua","2452","GRM.ParseMultiChannelString ( string )","Takes the string delimited by commas and parsed all the words into a table","Particularly for managing multiple channels to send info to"
"GRM_Core.lua","2498","GRM.BuildMultiChannelString()","Builds a string with comma delimiters of all the channel names","Give the player the option to send messages to multiple channels"
"GRM_Core.lua","2520","GRM.SlimName(string)","Removes the server name after character name.","Server name is not important in a guild of the same server since all will be server name."
"GRM_Core.lua","2535","GRM.FormatName ( string , bool )","Standardizes the formatting of player names","Customizing how the name appears in log and elsewhere."
"GRM_Core.lua","2555","GRM.Title ( string )","It capitalize the first letter of every word in a phrase.","Useful formatting tool. I was working in python and the string.title() implementation was really nice and wanted it in Lua, so I built it."
"GRM_Core.lua","2566","GRM.Use24HrBasedOnDefaultLanguage()","Establishes if the language uses the 24hr timestamp","On configuring a new toon, it is useful to know what timestamp format is commonly used 24hr or 12hr"
"GRM_Core.lua","2581","GRM.L ( string , string , int (or casted int to string) , string , string )","Returns the localized string based on the hash table using the key, or the key itself if the value is set to true (meaning no localization necessary or does not exist yet)","For ease of localization so people from any region can enjoy the addon in their native tongue!!!"
"GRM_Core.lua","2642","GRM.OrigL ( string )","Takes a hash result and returns the key. It's essentially a dictionary lookup in reverse","Some of the code needs to be localized only on the front end, but the backend code is based on some English variables"
"GRM_Core.lua","2660","GRM.NormalizeHitRects ( button , fontstring , int , bool )","It ensures that no matter what the localization/translation, the hitRects mnatch up to the text length perfectly","Quality of life"
"GRM_Core.lua","2673","GRM.Round ( float , int )","Returns a given number with the given number of requested decimals places.","Clean reporting and aesthetics..."
"GRM_Core.lua","2681","GRM.Random ( int , int )","Returns a random number with millisecond precision","Default built-in random number generator not precise enough."
"GRM_Core.lua","2688","GRM.DeepCopySelfRefProtection(origTable , updatingTable )","Builds the new table fully deep copied from the original with all new memory references","To keep the original table integrity intact."
"GRM_Core.lua","2713","GRM.ConvertTableToArray ( table , bool )","Takes a Lua table and converts it to a standard array, with option to sort","Useful when needing to cycle through a table alphabetically."
"GRM_Core.lua","2730","GRM.ConvertTableTo2DArray ( table , bool )","Takes a dictionary table and converts it to a 2D array, then allows you to sort it alphabetically.","Useful when taking apart tables, like in sync - easier to go through in an ordered list."
"GRM_Core.lua","2752","GRM.AddGuildBackup ( string , string )","Adds a backup point of the given selected guild.","Save your database as needed."
"GRM_Core.lua","2782","GRM.RemoveGuildBackup ( string , bool )","Removes a Backup Point for the guild...","Database Backup Management"
"GRM_Core.lua","2807","GRM.LoadRestorePoint ( string , string , string )","Restores backup point of a guild","Database Backup Management"
"GRM_Core.lua","2892","GRM.RestoreAllOldNotes()","Restores all of the original notes","Sets all public and officer notes."
"GRM_Core.lua","2918","GRM.ChangeServerNameOfAll ( table , string , bool , bool , bool )","Converts all of the server names of the players on the saved guild DB to the new server, in case of a guild transfer","Restore all guild data easily when transferring servers."
"GRM_Core.lua","3007","GRM.PurgeGuildFromDatabase( string )","Completely purges a guild from the player database... that it is not currently logged into","Cleanup old guild data from a guild the player is no longer a part of."
"GRM_Core.lua","3050","GRM.GetClubEpochJoinTime ( int )","Returns the epoch stamp of when a player joined a guild or community",""
"GRM_Core.lua","3062","GRM.GetSelectedClubID()","Returns the selected club ID - to be used as GRM expands to all communities","To pull data from specific club only."
"GRM_Core.lua","3069","GRM.ConvertToRealEpochNumber ( Number in scientific notation, like a float, 1.52223232323e+15 )","Returns the epoch real number from a converted number in the default Lua scientific notation format.","Blizz provides a microsecond version of the epoch time stamp, which is unnecessary, and rather than rewrite all my other epoch methods, I just convert to proper epoch format here"
"GRM_Core.lua","3076","GRM.GetFullNameClubMember ( guid(as string) , tries )","Appends the server to the end of the player name properly...","To append the full player name properly since it is not given by default"
"GRM_Core.lua","3109","GRM.GetPlayerNameByGUID ( string )","Returns the player's name given the GUID",""
"GRM_Core.lua","3134","GRM.GetPlayerSex ( string )","Returns the player sex based on the player GUID","This is the only way to determine a player's sex..."
"GRM_Core.lua","3156","GRM.AppendServerName ( string , bool )","Adds the server name to the player's name if it is not there","AppendServerName = fun     In some cases you need the full name-serverName to do some actions, when the server only gives you the name of players you are on same realm with trimmed of server. This adds it back."
"GRM_Core.lua","3172","GRM.AppendServerNameSimple(string,string)","Appends the realm name to a player's name if not alreayd appended","Useful as database matchign requires full name-server."
"GRM_Core.lua","3184","GRM.GetPlayerServer ( string )","Attempts to determine the player's serverName, for database purposes.","Unfortunately, some system messages do not inlcude the metadata to determine a player's name"
"GRM_Core.lua","3227","GRM.GetNumMains()","Returns the total number of players designated as ""Main"" in the guild","Mainly for audit log stat reporting."
"GRM_Core.lua","3245","GetNumberPatternMatches ( string , string )","Returns the integer count number of matches of a pattern, like how many commas in a string","Easier to parse some strings with simpler logic."
"GRM_Core.lua","3252","GRM.CreateGuildCreationDatePattern()","Creates the guild Creation Date Pattern","Easier parse the creation date without repetitive work."
"GRM_Core.lua","3269","GRM.SetSystemMessageFilter ( self , string , string )","Starts tracking the system messages for filtering. This is only triggered on the audit frame initialization or if a player has left the guild","To control system message spam when doing server inquiries"
"GRM_Core.lua","3404","GRM.SystemMessageHandler ( self , string , string )","Starts tracking the system messages. This only runs if system messages are disabled, thus this prioritizes over the filtering function","For faster response to LIVE events rather than waiting for server query updates."
"GRM_Core.lua","3525","GRM.SyncPlayerGoneOffline ( string )","Reports back if player you are syncing with has gone offline.","Will need to break sync if players has gone offline."
"GRM_Core.lua","3549","GRM.SystemMessagePatternMatchCheck ( string , string , string )","Return true if the pattern matches","During sync, if a player goes offline then you will be notified that sync has failed using this."
"GRM_Core.lua","3590","GRM.GetBirthday ( playerTable )","Returns the birthday table, be it from the player if not in an alt group, or from altGroup","If player is NOT in an alt group, they should still have an index for birthday info."
"GRM_Core.lua","3610","GRM.SetBirthdayInfo ( playerTable , int , int , bool , int , bool )","Sets the birthdate to alt Group if player has one, and to player data","Easily update bday info for an alt group as necessary."
"GRM_Core.lua","3681","GRM.AnnounceIfMacroReady( string )","Announces if a player, after they logon, match a macro rule","To give a reminder to perform an action once the person is currently online."
"GRM_Core.lua","3743","GRM.AddMainTagToComeOnlineSystemMessage ( string )","Adds the main/alt tags to the system messages for coming online.","Alt management feature!"
"GRM_Core.lua","3811","GRM.AddMainTagToGoneOfflineSystemMessage ( string )","Adds the main tag to the system message announce when a player goes offline and colorizes their names","Quality of life information."
"GRM_Core.lua","3871","GRM.SetGuildInfoDetails()","","It is useful information to know how many unique acocunts are in the guild. This particularly is useful when comparing how many ""mains"" there"
"GRM_Core.lua","3891","GRM.GetAuditLinePlayervalues ( array , boolean )","Collections the JoinDateText, the Promo, and the main Status text for use of the audit window","Easily callable function for reuse in parsing player data for the audit system."
"GRM_Core.lua","3987","GRM.GetAllGuildiesInOrder ( boolean , boolean )","Returns a sorted string array of all guildies","Useful to have an alphabetized list of guildies :)"
"GRM_Core.lua","4033","GRM.GetAllGuildiesInJoinDateOrder ( boolean , boolean )","Returns a sorted string array of all guildies in either ascending or descending order of when they joined the guild.","For sorting the audit window and keeping track of guildies..."
"GRM_Core.lua","4128","GRM.GetAllGuildiesInPromoDateOrder ( boolean , boolean )","Returns a sorted string array of all guildies in either ascending or descending order of when they were promoted last in the guild.","For sorting the audit window and keeping track of guildies..."
"GRM_Core.lua","4231","GRM.GetAllMainsAndAltsInOrder ( boolean )","Returns the guild roster sorted with either mains first or alts alphebatized, then alphabetizes the rest.","Auditing the roster and sorting!"
"GRM_Core.lua","4297","GRM.GetAllGuildiesByBirthdayDateOrder ( boolean , boolean )","Returns a sorted string array of all guildies in either ascending or descending order of when their birthday is","For sorting the audit window and keeping track of guildies..."
"GRM_Core.lua","4399","GRM.GetAllCurrentAndFormerGuildies( boolean , boolean )","Collects the names and class of every player currently in the guild, formerly in the guild in database, and sorts the 2D array alphabetically","This will be useful when adding people manually to ban list for auto-complete"
"GRM_Core.lua","4434","GRM.RemoveSpecialCharacters ( string )","Replaces all the special alt characters with English alphabet chars","Allows the autocomplete search of a player to provide results without needing to know special chars"
"GRM_Core.lua","4457","GRM.GetAutoCompleteMatches ( array , string )","This scans through the given list and returns a new list with only the string matched items.","Useful for auto-complete filtering."
"GRM_Core.lua","4482","GRM.GetAutoCompleteRealmMatches ( array , string )","Scans through the list of realms and finds matches","Easier realm selection"
"GRM_Core.lua","4506","GRM.GetPlayerRankIDAtStart()","Sets the player's rankID for the guild","Critical to have player's rank"
